日付,始値,高値,安値,終値,出来高,上昇率,基準超
2016/04/01,754.5,758.5,710.375,714.75,2809000,0.947316103379722,0
2016/04/04,714.625,732.25,706,729.375,3601500,1.02064019590694,0
2016/04/05,726.375,726.625,698.875,699.125,2822600,0.962484942350714,0
2016/04/06,711.625,735.25,708,723.75,4663500,1.0170384682944,0
2016/04/07,738,741.375,717,727.5,3017000,0.985772357723577,0
2016/04/08,727.5,747.125,716.25,735,4255700,1.01030927835052,0
2016/04/11,728.25,729.75,705,717.875,2574300,0.985753518709234,0
2016/04/12,718.125,737,712.75,732.25,2558000,1.01966927763272,0
2016/04/13,742.5,747.625,731.25,745.125,2963200,1.00353535353535,0
2016/04/14,757.75,765,748.25,764.75,2372100,1.00923787528868,0
2016/04/15,751.75,759.25,744.375,749,2260100,0.996341868972398,0
2016/04/18,726.75,748.75,726.75,738.75,2994100,1.01651186790506,0
2016/04/19,757.75,766.75,751,762.25,1848600,1.00593863411415,0
2016/04/20,768.75,774.5,752.75,754.75,2326200,0.981788617886179,0
2016/04/21,785,801.25,777,795,4276600,1.01273885350318,0
2016/04/22,783.25,808.5,779,807,3274600,1.03032237472071,1
2016/04/25,796.25,802,779.75,787,3413200,0.988383045525903,0
2016/04/26,787.5,788.5,764.75,769,3894700,0.976507936507937,0
2016/04/27,781.5,795.75,778.5,787.25,9251900,1.00735764555342,0
2016/04/28,799.5,807,757.5,768.75,4701100,0.961538461538462,0
2016/05/02,732.25,733.875,710.875,714.875,4102800,0.976271765107545,0
2016/05/06,727.375,733.75,716.25,725.875,2892200,0.997937789998282,0
2016/05/09,732.25,732.5,718.125,723.625,1678200,0.988221235916695,0
2016/05/10,726.75,739,719.625,732.125,3469200,1.00739594083247,0
2016/05/11,767.25,780.5,760.25,761.5,4424600,0.992505702183122,0
2016/05/12,746.5,764.5,730.375,762.25,2598500,1.02109845947756,0
2016/05/13,750,756,730.75,731.875,4203700,0.975833333333333,0
2016/05/16,729.375,731.125,719,722.5,3467600,0.99057412167952,0
2016/05/17,718.25,724.25,715.5,720.75,2931600,1.00348068221371,0
